file,FaceIndex,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,AU44,valence
bullied,1,0.21763581,0.16239351,0.77303886,0.43292645,0.18482764,0.0,0.16432557,0.082002684,0.0,0.032504022,0.54489344,0.36806682,0.65893656,0.0,0.46703842,0.8319476,0.21681008,0.03173961,0.6127409,0.028071336,negative
bullied,2,0.37552097,0.37949446,0.18910733,0.35131875,0.08814699,0.0,0.18512489,0.0034226861,0.0,0.0330569,0.18810844,0.35515454,0.46287715,0.0,0.496607,0.2996935,0.015985083,0.1008655,0.12756681,0.20126203,negative
sad-man,1,0.6119342,0.35883948,0.4341429,0.54758424,0.23634692,1.0,0.26767725,0.25913322,1.0,0.23883861,0.33275586,0.55706,0.48769706,0.0,0.17771213,0.4825867,0.8529408,0.4250475,0.11199373,0.47936118,negative
piggyback,1,0.61560416,0.11245224,0.924305,0.26943502,0.79690367,1.0,0.687018,0.6768326,0.0,0.3621491,0.45515922,0.54267985,0.24328092,1.0,0.4137423,0.010641697,0.9981914,0.8860041,0.15375255,0.71939313,positive
piggyback,2,0.40219212,0.47902876,0.44386134,0.23464528,0.7700716,1.0,0.6183149,0.7790902,1.0,0.62418306,0.645085,0.107286856,0.14194442,1.0,0.1677136,0.02240061,0.9999546,0.33142057,0.32121348,0.8622681,positive
students,1,0.43039444,0.17393145,0.20206495,0.31993926,0.9043482,1.0,0.59826016,0.92778933,0.0,0.88922924,0.8392209,0.4583049,0.1181776,1.0,0.10666301,0.0080988845,0.9994342,0.6964882,0.013751734,0.054442123,positive
students,2,0.65734696,0.34368825,0.73220897,0.29212683,0.12368818,0.0,0.49262294,0.15379155,1.0,0.07864155,0.3660297,0.6779212,0.36419803,1.0,0.5087807,0.29511267,0.97165424,0.68938637,0.16332814,0.88390297,positive
students,3,0.54586166,0.27483767,0.20220248,0.35378945,0.28744906,0.0,0.11325362,0.340843,0.0,0.27010268,0.5153022,0.572843,0.29753056,1.0,0.72568715,0.2727479,0.6557262,0.31037536,0.18416074,0.06656554,positive
students,4,0.44888565,0.11284465,0.8878836,0.32489374,0.32322356,0.0,0.4917171,0.834742,0.0,0.37518534,0.5326842,0.15832333,0.35480687,1.0,0.8072419,0.05854118,0.997143,0.43028873,0.074024685,0.75110793,positive
arguing,1,0.22232074,0.20916781,0.22526434,0.4694126,0.14066775,0.0,0.1746292,0.10990767,1.0,0.20383525,0.49525854,0.34515873,0.36741483,0.0,0.5462051,0.7163402,0.29197797,0.16324422,0.23917201,0.05377183,negative
arguing,2,0.43612957,0.23003638,0.5486288,0.41427335,0.06473207,0.0,0.117585815,0.00029336446,0.0,0.013320936,0.32614863,0.5572224,0.54402304,0.0,0.4689865,0.67226696,0.036770903,0.054002542,0.64572734,0.07619087,negative
happy-man,1,0.35405648,0.2824988,0.26461807,0.2523603,0.9206727,1.0,0.5525667,0.9731967,1.0,0.9812852,0.6996349,0.025276642,0.34788212,1.0,0.25736463,0.06653326,0.9989759,0.29910377,0.29275024,0.35518777,positive
bills,1,0.36016583,0.121369734,0.77249354,0.23076554,0.10721627,0.0,0.30412742,0.016679417,0.0,0.018652448,0.46100914,0.8264153,0.5555227,0.0,0.44948128,0.8167903,0.006955352,0.09268064,0.3265244,0.8440525,negative
back-off,1,0.4669482,0.18907157,0.17051469,0.67170024,0.081788145,0.0,0.13315803,0.008718787,1.0,0.040878337,0.24339393,0.3276845,0.30238804,1.0,0.2871301,0.07237418,0.9969188,0.39130586,0.04037981,0.078353785,negative
grandparents,1,0.75492656,0.4370949,0.68520415,0.25413978,0.91668004,1.0,0.81090367,0.9843502,0.0,0.94123954,0.78936684,0.2389503,0.12765144,1.0,0.19456513,0.006602166,0.99986756,0.7756632,0.016303433,0.8689539,positive
grandparents,2,0.3569058,0.3090587,0.5549787,0.24994837,0.63312304,1.0,0.6877951,0.80565244,0.0,0.761007,0.49679852,0.5782513,0.38580146,1.0,0.52356315,0.056098603,0.9998758,0.70263976,0.016340435,0.8011474,positive
enjoying-the-sun,1,0.4418326,0.40673593,0.31892943,0.3445243,0.7330167,0.0,0.3399369,0.16337664,1.0,0.7947018,0.6380655,0.5898296,0.53389066,0.0,0.34336513,0.5651948,0.89435107,0.24825239,0.27224436,0.7755845,positive
claws,1,0.24304114,0.058757327,0.9647616,0.35376218,0.7336064,1.0,0.7303413,0.9812387,1.0,0.68069905,0.40134752,0.3481245,0.20120755,1.0,0.24842344,0.0076087425,0.9999567,0.9173733,0.062996596,0.29510617,negative
disagreement,1,0.3873643,0.23605046,0.13522437,0.64927596,0.08186391,0.0,0.1190998,0.01956916,0.0,0.032767624,0.11410297,0.45420134,0.45361546,0.0,0.2984702,0.3697007,0.20229533,0.09783335,0.19065693,0.02520085,negative
disagreement,2,0.40359432,0.27685603,0.4594864,0.29071712,0.03499276,0.0,0.07857095,0.106097475,1.0,0.025341686,0.20337103,0.30322027,0.18200935,0.0,0.3183213,0.19497833,0.97903913,0.56613064,0.014055656,0.03915579,negative
disagreement,3,0.372262,0.31837195,0.2178521,0.4271885,0.04511179,0.0,0.15591781,0.039071623,1.0,0.025433902,0.32756096,0.3284493,0.3953493,0.0,0.6429477,0.4676784,0.13592872,0.23093875,0.5257264,0.03177662,negative
tablet,1,0.2976444,0.09848513,0.31816226,0.37147444,0.07867934,0.0,0.19818738,0.0236587,0.0,0.01926806,0.2383622,0.39389446,0.42736337,0.0,0.33706176,0.5771267,0.0024159716,0.07419819,0.26705232,0.13941047,negative
laughing-couple,1,0.58282256,0.4908511,0.39203334,0.36908355,0.8992945,1.0,0.66394764,0.96602714,1.0,0.90706676,0.7501639,0.21348405,0.530273,1.0,0.24226534,0.32845622,0.99057734,0.2572475,0.2720982,0.6875064,positive
laughing-couple,2,0.6757631,0.68057835,0.614588,0.27473488,0.30663258,1.0,0.43018416,0.12508497,0.0,0.20483817,0.19189559,0.41696572,0.5459872,1.0,0.44137165,0.085938126,0.9972589,0.7411406,0.1254053,0.9109479,positive
handshake,1,0.34894383,0.22901618,0.30264091,0.26635212,0.73060626,1.0,0.49499074,0.9753086,1.0,0.9572153,0.6397329,0.2903428,0.30754068,1.0,0.14800504,0.013825049,0.99996316,0.4408084,0.022957858,0.16579278,positive
handshake,2,0.34171215,0.34312013,0.3086363,0.2678452,0.9290814,1.0,0.5047714,0.99434495,0.0,0.9685471,0.66553,0.2292619,0.26427966,1.0,0.20581323,0.079909645,0.9999049,0.5263273,0.07113788,0.821434,positive
handshake,3,0.64740354,0.5356398,0.3900272,0.27956402,0.25167558,0.0,0.31663847,0.6140816,1.0,0.22103399,0.27241582,0.58345884,0.40025485,1.0,0.42980498,0.123023264,0.99807215,0.81748044,0.2300597,0.8877128,positive
business,1,0.3780532,0.19546182,0.37668684,0.25418073,0.91462016,1.0,0.44851786,0.96574837,0.0,0.80510557,0.44020134,0.8486043,0.28918603,1.0,0.22523512,0.03931348,0.9993162,0.54001033,0.025376122,0.55108523,positive
by-the-sea,1,0.51696014,0.34504288,0.63813376,0.2667062,0.12750477,0.0,0.35685417,0.026910974,0.0,0.050660603,0.6592331,0.12083303,0.42538655,0.0,0.53497255,0.45996732,0.8194498,0.47192392,0.29199225,0.51091415,negative
